"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_DZCOURIERZ_DZCR_SEALEDLETTER_NAME","Sealed Courier Letter","Sealed Courier Letter","Sealed Courier Letter","Versiegelter Kurierbrief","Sealed Courier Letter","Sealed Courier Letter","Sealed Courier Letter","Sealed Courier Letter","Sealed Courier Letter","Sealed Courier Letter","Sealed Courier Letter","Sealed Courier Letter","Sealed Courier Letter","Sealed Courier Letter"
"STR_DZCOURIERZ_DZCR_SEALEDLETTER_DESC","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ Startdokument fuer Operation Aktenkoffer.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase.","DeutschZ CourierZ start document for Operation Briefcase."
"STR_DZCOURIERZ_DZCR_CLASSIFIEDDOCUMENT_NAME","Classified Document","Classified Document","Classified Document","Geheimdokument","Classified Document","Classified Document","Classified Document","Classified Document","Classified Document","Classified Document","Classified Document","Classified Document","Classified Document","Classified Document"
"STR_DZCOURIERZ_DZCR_CLASSIFIEDDOCUMENT_DESC","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Klassifiziertes DeutschZ Kurierdokument.","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Classified DeutschZ courier document.","Classified DeutschZ courier document."
"STR_DZCOURIERZ_DZCR_SECRETORDER_NAME","Secret Order","Secret Order","Secret Order","Geheimauftrag","Secret Order","Secret Order","Secret Order","Secret Order","Secret Order","Secret Order","Secret Order","Secret Order","Secret Order","Secret Order"
"STR_DZCOURIERZ_DZCR_SECRETORDER_DESC","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Verschluesselter Auftrag fuer Operation Aktenkoffer.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase.","Encrypted order for Operation Briefcase."
"STR_DZCOURIERZ_DZCR_ENCRYPTEDDATADRIVE_NAME","Encrypted Data Drive","Encrypted Data Drive","Encrypted Data Drive","Verschluesselter Datentraeger","Encrypted Data Drive","Encrypted Data Drive","Encrypted Data Drive","Encrypted Data Drive","Encrypted Data Drive","Encrypted Data Drive","Encrypted Data Drive","Encrypted Data Drive","Encrypted Data Drive","Encrypted Data Drive"
"STR_DZCOURIERZ_DZCR_ENCRYPTEDDATADRIVE_DESC","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Seltener DeutschZ Kurier-Datentraeger.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive.","Rare DeutschZ courier data drive."
"STR_DZCOURIERZ_DZCR_AKTENKOFFER_NAME","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Aktenkoffer","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Briefcase","DeutschZ Briefcase"
"STR_DZCOURIERZ_DZCR_AKTENKOFFER_DESC","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Versiegelter DeutschZ CourierZ Eventkoffer. Zum Ziel bringen, nicht einlagern.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it.","Sealed DeutschZ CourierZ event case. Bring it to the target, do not store it."
"STR_DZCOURIERZ_DZCR_SEALEDCOURIERCASE_NAME","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ versiegelter Kurierkoffer","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case","DeutschZ Sealed Courier Case"
"STR_DZCOURIERZ_DZCR_SEALEDCOURIERCASE_DESC","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Versiegelter CourierZ-Koffer fuer mehrstufige NPC-Uebergaben. Zielobjekt, kein normaler Mapspawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn.","Sealed CourierZ case for multi-stage NPC handovers. Objective item, no normal map spawn."
"STR_DZCOURIERZ_DZCR_COURIERPACKAGE_NAME","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Lieferpaket","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package","DeutschZ CourierZ Delivery Package"
"STR_DZCOURIERZ_DZCR_COURIERPACKAGE_DESC","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Versiegeltes Lieferpaket fuer CourierZ-Routen. Nur durch Eventlogik oder Adminspawn vorgesehen.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn.","Sealed delivery package for CourierZ routes. Intended only through event logic or admin spawn."
"STR_DZCOURIERZ_DZCR_DELIVERYSTAMP_NAME","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Lieferstempel","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp","DeutschZ CourierZ Delivery Stamp"
"STR_DZCOURIERZ_DZCR_DELIVERYSTAMP_DESC","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Nachweis einer bestaetigten CourierZ-Uebergabe. Hochwertiges Event- und Traderitem.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item.","Proof of a confirmed CourierZ handover. High-value event and trader item."
"STR_DZCOURIERZ_DZCR_CIPHERDOCUMENT_NAME","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Chiffredokument","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document","DeutschZ CourierZ Cipher Document"
"STR_DZCOURIERZ_DZCR_CIPHERDOCUMENT_DESC","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Verschluesseltes Kurierdokument mit OperationDeutschZ-Bezug. Behalten ist wahrscheinlich wertvoller als verkaufen.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it.","Encrypted courier document connected to OperationDeutschZ. Keeping it is probably more valuable than selling it."
"STR_DZCOURIERZ_DZCR_REWARDCHEST_NAME","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Rewardkiste","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest","DeutschZ CourierZ Reward Chest"
