"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_DZCONVOYZ_LAND_HACKEDCRATE_NAME","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox-Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal","Top Secret Blackbox Terminal"
"STR_DZCONVOYZ_LAND_HACKEDCRATE_DESC","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","Hackbares DeutschZ_ConvoyZ-Blackbox-Terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal.","DeutschZ_ConvoyZ hackable blackbox terminal."
"STR_DZCONVOYZ_DZCV_PROTECTEDCASE_NAME","Classified Intelligence Case","Classified Intelligence Case","Classified Intelligence Case","Klassifizierter Geheimdienstkoffer","Classified Intelligence Case","Classified Intelligence Case","Classified Intelligence Case","Classified Intelligence Case","Classified Intelligence Case","Classified Intelligence Case","Classified Intelligence Case","Classified Intelligence Case","Classified Intelligence Case","Classified Intelligence Case"
"STR_DZCONVOYZ_DZCV_PROTECTEDCASE_DESC","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","Geschuetzter militaerischer Datenkoffer aus einem klassifizierten Convoy-Crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash.","A protected military data case recovered from a classified convoy crash."
"STR_DZCONVOYZ_DZCV_ACCESSCARD_NAME","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy-Zugangskarte","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card","DeutschZ Convoy Access Card"
"STR_DZCONVOYZ_DZCV_ACCESSCARD_DESC","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Verschluesselte DeutschZ-Militaerconvoy-Zugangskarte. Seltenes Event-Keyitem.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item.","Encrypted DeutschZ military convoy access card. Rare event key item."
"STR_DZCONVOYZ_DZCV_CARDREADER_NAME","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox-Kartenleser","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader","DeutschZ Blackbox Card Reader"
"STR_DZCONVOYZ_DZCV_CARDREADER_DESC","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Mobiler Kartenleser fuer geborgene Convoy-Blackbox-Daten.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data.","Portable card reader for recovered convoy blackbox data."
"STR_DZCONVOYZ_DZCV_BLACKBOXCORE_NAME","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox-Kern","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox Core","DeutschZ Blackbox Core"
"STR_DZCONVOYZ_DZCV_BLACKBOXCORE_DESC","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extrem wertvoller verschluesselter militaerischer Blackbox-Kern aus einem Top-Secret-Convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy.","Extremely valuable encrypted military blackbox core recovered from a top-secret convoy."
